customer_id,customer_name,email,gender,age,country,city,account_created,last_login,loyalty_points
1,Norma Fisher,jessicacollins@harding.biz,Female,69,Bahamas,South Marioview,2021-05-16,2024-11-15,4001
2,Jorge Sullivan,archerchristopher@hotmail.com,Female,69,Myanmar,North Rogerfort,2021-09-05,2024-10-04,3038
3,Elizabeth Woods,smithroy@gmail.com,Male,28,Falkland Islands (Malvinas),East Vincentburgh,2024-09-15,2024-11-19,8328
4,Susan Wagner,norma52@yahoo.com,Female,23,Angola,North Jessicamouth,2020-10-31,2024-06-13,9766
5,Peter Montgomery,davisemily@hotmail.com,Other,44,Cameroon,Mendozaborough,2024-11-07,2024-05-31,2703
6,Theodore Mcgrath,christinelewis@gmail.com,Female,66,Mauritania,Toddhaven,2025-01-20,2025-02-23,4508
7,Stephanie Collins,wallacecatherine@yahoo.com,Female,50,Hong Kong,Port Jacqueline,2024-06-09,2024-10-29,7184
8,Stephanie Sutton,dianahodge@hotmail.com,Female,46,Ecuador,Pierceburgh,2021-07-17,2024-05-09,7532
9,Brian Hamilton,benjaminrodriguez@williams-miller.com,Female,70,Tonga,West Annaport,2021-03-31,2025-01-02,2252
10,Susan Levy,wgonzalez@patrick.biz,Female,52,Zimbabwe,Sparksburgh,2022-08-27,2024-06-08,3543
11,Sean Green,amy61@hotmail.com,Other,59,Bulgaria,Adamsbury,2021-12-16,2025-04-23,4428
12,Kimberly Smith,mcmillanmary@yahoo.com,Male,67,Sudan,East Jimmyton,2022-08-20,2025-01-05,3060
13,Jennifer Summers,david37@steele-sharp.org,Other,26,Dominican Republic,Jonathanborough,2023-10-29,2025-03-12,2027
14,April Snyder,houstonjacob@hotmail.com,Male,44,Guyana,Port Hectorville,2023-09-24,2024-12-25,3637
15,Dana Nguyen,lrobinson@holloway.info,Female,70,Serbia,South Richardberg,2021-09-04,2025-01-18,2286
16,Cheryl Bradley,tcopeland@smith.com,Male,39,Gibraltar,Valencialand,2024-04-13,2024-09-18,1366
